"Date","Price","Open","High","Low","Change %"
"Apr 07, 2020","1.4233","1.4325","1.4329","1.4218","-0.64%"
"Apr 06, 2020","1.4325","1.4388","1.4418","1.4311","-0.43%"
"Apr 03, 2020","1.4387","1.4303","1.4417","1.4293","0.56%"
"Apr 02, 2020","1.4306","1.4361","1.4385","1.4281","-0.39%"
"Apr 01, 2020","1.4362","1.4218","1.4377","1.4205","1.02%"
"Mar 31, 2020","1.4217","1.4238","1.4281","1.4207","-0.14%"
"Mar 30, 2020","1.4238","1.4270","1.4297","1.4212","-0.23%"
"Mar 27, 2020","1.4270","1.4312","1.4365","1.4246","-0.29%"
"Mar 26, 2020","1.4312","1.4473","1.4512","1.4302","-1.12%"
"Mar 25, 2020","1.4475","1.4464","1.4514","1.4442","0.08%"
"Mar 24, 2020","1.4463","1.4605","1.4620","1.4454","-0.92%"
"Mar 23, 2020","1.4598","1.4496","1.4648","1.4496","0.70%"
"Mar 20, 2020","1.4496","1.4526","1.4545","1.4413","-0.21%"
"Mar 19, 2020","1.4526","1.4428","1.4568","1.4381","0.92%"
"Mar 18, 2020","1.4394","1.4298","1.4468","1.4268","0.72%"
"Mar 17, 2020","1.4290","1.4206","1.4325","1.4170","0.58%"
"Mar 16, 2020","1.4208","1.4123","1.4235","1.4056","0.40%"
"Mar 13, 2020","1.4151","1.4114","1.4182","1.4060","0.26%"
"Mar 12, 2020","1.4115","1.3954","1.4122","1.3940","1.17%"
"Mar 11, 2020","1.3952","1.3916","1.3953","1.3877","0.25%"
"Mar 10, 2020","1.3917","1.3840","1.3921","1.3827","0.55%"
"Mar 09, 2020","1.3841","1.3782","1.3863","1.3758","0.42%"
"Mar 06, 2020","1.3783","1.3829","1.3862","1.3767","-0.33%"
"Mar 05, 2020","1.3829","1.3848","1.3880","1.3823","-0.13%"
"Mar 04, 2020","1.3847","1.3879","1.3899","1.3827","-0.26%"
"Mar 03, 2020","1.3883","1.3907","1.3951","1.3844","-0.13%"
"Mar 02, 2020","1.3901","1.3926","1.3975","1.3878","-0.24%"
"Feb 28, 2020","1.3934","1.3952","1.3995","1.3927","-0.13%"
"Feb 27, 2020","1.3952","1.3975","1.3980","1.3936","-0.17%"
"Feb 26, 2020","1.3976","1.3987","1.4009","1.3964","-0.08%"
"Feb 25, 2020","1.3987","1.3996","1.4002","1.3957","-0.07%"
"Feb 24, 2020","1.3997","1.3988","1.4044","1.3982","0.09%"
"Feb 21, 2020","1.3985","1.4011","1.4030","1.3965","-0.19%"
"Feb 20, 2020","1.4012","1.3949","1.4086","1.3937","0.48%"
"Feb 19, 2020","1.3945","1.3925","1.3951","1.3901","0.14%"
